Entity,Code,Year,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Depressive disorders,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Schizophrenia,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Bipolar disorder,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Eating disorders,DALYs (rate) - Sex: Both - Age: Age-standardized - Cause: Anxiety disorders
Afghanistan,AFG,1990,895.22565,138.24825,147.64412,26.471115,440.33
Afghanistan,AFG,1991,893.88434,137.76122,147.56696,25.548681,439.47202
Afghanistan,AFG,1992,892.34973,137.0803,147.13086,24.637949,437.60718
Afghanistan,AFG,1993,891.51587,136.48602,146.78812,23.863169,436.69104
Afghanistan,AFG,1994,891.3916,136.18323,146.58481,23.189074,436.768
Afghanistan,AFG,1995,891.21344,135.65398,146.63217,22.503244,436.69098
Afghanistan,AFG,1996,891.92096,135.16324,146.67957,21.827526,436.52713
Afghanistan,AFG,1997,893.02045,134.2036,146.54947,21.124723,436.42557
Afghanistan,AFG,1998,894.7368,133.56137,146.69704,20.412657,436.7702
Afghanistan,AFG,1999,896.13806,132.82457,146.76817,19.931143,437.12753
Afghanistan,AFG,2000,897.0631,132.56447,146.69957,19.769741,437.81378
Afghanistan,AFG,2001,896.19244,132.38344,146.80049,19.72647,437.8184
Afghanistan,AFG,2002,894.41486,132.26962,147.0212,19.788143,437.49268
Afghanistan,AFG,2003,892.8549,132.65482,146.89832,19.847649,437.7178
Afghanistan,AFG,2004,891.61444,132.47002,147.10779,19.985369,438.05847
Afghanistan,AFG,2005,890.48584,132.7123,147.21605,20.11376,438.41013
Afghanistan,AFG,2006,890.12366,132.8283,147.37941,20.305365,439.30695
Afghanistan,AFG,2007,890.02045,132.85744,147.46146,20.703999,439.95288
Afghanistan,AFG,2008,889.03674,133.19771,147.72333,21.125774,440.6444
Afghanistan,AFG,2009,888.5571,133.64053,147.6236,21.584486,441.7015
Afghanistan,AFG,2010,888.5573,133.93993,147.63795,21.996126,442.2967
Afghanistan,AFG,2011,888.8211,134.38702,147.83458,22.47905,444.04633
Afghanistan,AFG,2012,889.0002,134.67058,147.91908,22.885954,446.3588
Afghanistan,AFG,2013,889.4718,135.41533,147.90512,23.409927,448.9212
Afghanistan,AFG,2014,889.8559,135.6847,148.1675,23.843073,451.59003
Afghanistan,AFG,2015,889.831,135.8229,148.00087,24.176653,453.5491
Afghanistan,AFG,2016,888.2025,135.8525,148.15033,24.497932,453.91003
Afghanistan,AFG,2017,887.0443,135.94547,148.02977,24.622818,453.98483
Afghanistan,AFG,2018,888.1976,135.77147,148.18695,24.742624,455.19724
Afghanistan,AFG,2019,890.1888,135.63637,148.22464,24.71175,457.2457
African Region (WHO),,1990,813.768,135.87302,123.21381,21.657314,332.0955
African Region (WHO),,1991,811.63586,135.84152,123.19559,21.468536,331.84326
African Region (WHO),,1992,809.77264,135.82364,123.20784,21.298965,331.59048
African Region (WHO),,1993,808.22644,135.78175,123.1872,21.141212,331.4094
African Region (WHO),,1994,807.3702,135.70683,123.17723,20.994555,331.24078
African Region (WHO),,1995,807.08826,135.65288,123.154884,20.869705,331.09436
African Region (WHO),,1996,809.2946,135.53923,123.13204,20.758709,330.84705
African Region (WHO),,1997,814.5101,135.37222,123.11671,20.650179,330.51013
African Region (WHO),,1998,820.4837,135.18767,123.118996,20.538477,330.1274
African Region (WHO),,1999,825.38885,135.07938,123.08099,20.467896,329.83243
African Region (WHO),,2000,827.07385,134.99394,123.07383,20.43388,329.6232
African Region (WHO),,2001,826.40894,135.11406,123.09037,20.467358,329.35275
African Region (WHO),,2002,825.3656,135.36412,123.11003,20.560804,328.93433
African Region (WHO),,2003,824.13513,135.61188,123.12501,20.71793,328.5306
African Region (WHO),,2004,822.86224,135.90297,123.17873,20.877773,328.17245
African Region (WHO),,2005,821.6296,136.09467,123.23318,21.02292,328.00888
African Region (WHO),,2006,818.8298,136.184,123.27816,21.183002,328.56027
