Entity,Code,Year,Major depression
Andean Latin America,,2008,0
Asia Pacific,,2008,80.8
Australasia,,2008,100
Caribbean,,2008,9.1
Central Asia,,2008,0
Central Europe,,2008,16
Central Latin America,,2008,49.8
Central Sub-Saharan Africa,,2008,0
East Asia,,2008,12.2
East Sub-Saharan Africa,,2008,1.3
Eastern Europe,,2008,23.6
North Africa/Middle East,,2008,47
North America,,2008,100
Oceania,,2008,0
South Asia,,2008,1.7
Southeast Asia,,2008,14.5
Southern Latin America,,2008,16.5
Southern Sub-Saharan Africa,,2008,0.1
Tropical Latin America,,2008,9.7
West Sub-Saharan Africa,,2008,46.6
Western Europe,,2008,73.6
World,OWID_WRL,2008,35.4
