statefips,countyfips,avghouseholdsize,geography
2,013,2.43,"Aleutians East Borough, Alaska"
2,016,3.59,"Aleutians West Census Area, Alaska"
2,020,2.77,"Anchorage Municipality, Alaska"
2,050,3.86,"Bethel Census Area, Alaska"
2,060,2.5,"Bristol Bay Borough, Alaska"
2,068,2.34,"Denali Borough, Alaska"
2,070,3.56,"Dillingham Census Area, Alaska"
2,090,2.69,"Fairbanks North Star Borough, Alaska"
2,100,2.12,"Haines Borough, Alaska"
2,105,2.26,"Hoonah-Angoon Census Area, Alaska"
2,110,2.62,"Juneau City and Borough, Alaska"
2,122,2.57,"Kenai Peninsula Borough, Alaska"
2,130,2.55,"Ketchikan Gateway Borough, Alaska"
2,150,2.98,"Kodiak Island Borough, Alaska"
2,158,4.65,"Kusilvak Census Area, Alaska"
2,164,2.9,"Lake and Peninsula Borough, Alaska"
2,170,3.03,"Matanuska-Susitna Borough, Alaska"
2,180,3.26,"Nome Census Area, Alaska"
2,185,3.28,"North Slope Borough, Alaska"
2,188,3.97,"Northwest Arctic Borough, Alaska"
2,195,2.4,"Petersburg Borough, Alaska"
2,198,2.77,"Prince of Wales-Hyder Census Area, Alaska"
2,220,2.49,"Sitka City and Borough, Alaska"
2,230,2.15,"Skagway Municipality, Alaska"
2,240,3.11,"Southeast Fairbanks Census Area, Alaska"
2,261,3.1,"Valdez-Cordova Census Area, Alaska"
2,275,2.08,"Wrangell City and Borough, Alaska"
2,282,2.32,"Yakutat City and Borough, Alaska"
2,290,2.81,"Yukon-Koyukuk Census Area, Alaska"
1,001,2.68,"Autauga County, Alabama"
1,003,2.6,"Baldwin County, Alabama"
1,005,2.61,"Barbour County, Alabama"
1,007,2.95,"Bibb County, Alabama"
1,009,2.74,"Blount County, Alabama"
1,011,2.73,"Bullock County, Alabama"
1,013,2.49,"Butler County, Alabama"
1,015,2.52,"Calhoun County, Alabama"
1,017,2.44,"Chambers County, Alabama"
1,019,2.28,"Cherokee County, Alabama"
1,021,2.68,"Chilton County, Alabama"
1,023,2.37,"Choctaw County, Alabama"
1,025,2.57,"Clarke County, Alabama"
1,027,2.45,"Clay County, Alabama"
1,029,2.57,"Cleburne County, Alabama"
1,031,2.62,"Coffee County, Alabama"
1,033,2.43,"Colbert County, Alabama"
1,035,2.48,"Conecuh County, Alabama"
1,037,2.42,"Coosa County, Alabama"
1,039,2.49,"Covington County, Alabama"
1,041,2.56,"Crenshaw County, Alabama"
1,043,2.55,"Cullman County, Alabama"
1,045,2.56,"Dale County, Alabama"
1,047,2.53,"Dallas County, Alabama"
1,049,2.81,"DeKalb County, Alabama"
1,051,2.65,"Elmore County, Alabama"
1,053,2.6,"Escambia County, Alabama"
1,055,2.56,"Etowah County, Alabama"
1,057,2.36,"Fayette County, Alabama"
